League,Season,URL,Home,Away,Date,Final_Result,HT_Result,1X2_Close_1,1X2_Close_X,1X2_Close_2,1X2_Open_1,1X2_Open_X,1X2_Open_2,OU_2_Over_Close,OU_2_Under_Close,OU_2_Over_Open,OU_2_Under_Open,OU_2_25_Over_Close,OU_2_25_Under_Close,OU_2_25_Over_Open,OU_2_25_Under_Open,OU_2_5_Over_Close,OU_2_5_Under_Close,OU_2_5_Over_Open,OU_2_5_Under_Open,OU_2_75_Over_Close,OU_2_75_Under_Close,OU_2_75_Over_Open,OU_2_75_Under_Open,OU_3_Over_Close,OU_3_Under_Close,OU_3_Over_Open,OU_3_Under_Open,AH_0_Home_Close,AH_0_Away_Close,AH_0_Home_Open,AH_0_Away_Open,AH_minus_0_25_Home_Close,AH_minus_0_25_Away_Close,AH_minus_0_25_Home_Open,AH_minus_0_25_Away_Open,AH_minus_0_5_Home_Close,AH_minus_0_5_Away_Close,AH_minus_0_5_Home_Open,AH_minus_0_5_Away_Open,AH_minus_0_75_Home_Close,AH_minus_0_75_Away_Close,AH_minus_0_75_Home_Open,AH_minus_0_75_Away_Open,AH_minus_1_Home_Close,AH_minus_1_Away_Close,AH_minus_1_Home_Open,AH_minus_1_Away_Open,AH_minus_1_25_Home_Close,AH_minus_1_25_Away_Close,AH_minus_1_25_Home_Open,AH_minus_1_25_Away_Open,AH_plus_0_25_Home_Close,AH_plus_0_25_Away_Close,AH_plus_0_25_Home_Open,AH_plus_0_25_Away_Open,AH_plus_0_5_Home_Close,AH_plus_0_5_Away_Close,AH_plus_0_5_Home_Open,AH_plus_0_5_Away_Open,AH_plus_0_75_Home_Close,AH_plus_0_75_Away_Close,AH_plus_0_75_Home_Open,AH_plus_0_75_Away_Open,AH_plus_1_Home_Close,AH_plus_1_Away_Close,AH_plus_1_Home_Open,AH_plus_1_Away_Open,AH_plus_1_25_Home_Close,AH_plus_1_25_Away_Close,AH_plus_1_25_Home_Open,AH_plus_1_25_Away_Open,BTTS_Yes_Close,BTTS_No_Close,BTTS_Yes_Open,BTTS_No_Open
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/cibalia-sibenik-8Q7xRWcB/,Cibalia,Sibenik,14 Aug 2015,1:2,,1.82,3.25,3.95,,,3.55,,,,,,,,,,,,,,,,,,,,,1.40,2.75,,,,,,,1.88,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.93,,1.93
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/dragovoljac-sibenik-ATSms456/,Dragovoljac,Sibenik,27 Sep 2015,0:1,0:0,3.00,2.96,2.38,2.84,3.25,2.22,,,,,,,,,,,,,,,,,,,,,2.14,1.66,,,,,,,,,,,,,,,5.40,1.12,,,,,,,1.80,2.00,,,,,,,,,,,1.23,3.80,,,,,,,6.60,1.08,6.60,1.08
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/rudes-cibalia-2e9oqP5k/,Rudes,Cibalia,17 Apr 2016,1:2,,2.79,3.06,2.47,,,2.02,,,,,,,,,2.01,1.77,2.00,1.80,,,,,,,,,2.03,1.74,,,,,,,,,,,,,,,5.20,1.13,,,,,,,,,,,,,,,,,,,1.18,4.40,,,,,,,6.00,1.10,,1.09
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/rudes-dugopolje-0KYbE8We/,Rudes,Dugopolje,31 Oct 2015,2:0,,1.93,3.35,3.65,,3.25,3.25,,,,,2.05,1.75,2.05,1.75,2.22,1.63,2.35,1.57,,,,,,,,,1.44,2.66,,,1.83,1.98,,,,,,,,,,,2.73,1.41,,,,,,,,,,,,,,,,,,,1.09,6.60,,,,,,,3.60,1.24,,1.24
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/hnk-gorica-rudes-WK0Sx4WA/,Gorica,Rudes,13 Mar 2016,2:0,,2.04,2.97,3.80,,3.10,2.99,,,,,,,,,2.15,1.67,2.10,1.70,,,,,,,,,1.43,2.70,,,1.98,1.83,,,,,,,,,,,3.25,1.30,,,,,,,,,,,,,,,,,,,1.05,8.10,,,,,,,4.15,1.19,,1.19
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/lucko-dragovoljac-x8xfg9Td/,Lucko,Dragovoljac,09 Apr 2016,0:1,,2.25,2.88,3.35,,3.10,2.79,,,,,,,,,2.27,1.59,2.20,1.65,,,,,,,,,1.56,2.33,,,,,,,,,,,,,,,3.85,1.22,,,,,,,,,,,,,,,,,,,1.08,6.90,,,,,,,4.75,1.15,,1.18
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/dragovoljac-hnk-gorica-tv6pPASN/,Dragovoljac,Gorica,21 Aug 2015,1:0,,3.06,3.19,2.12,,3.20,2.12,,,,,,,,,,,,,,,,,,,,,2.25,1.57,,,,,,,,,,,,,,,,,,,,,,,1.95,1.85,,,,,,,,,,,,,,,,,,,2.25,1.57,2.25,1.57
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/imotski-hnk-gorica-h8v60n7K/,Imotski,Gorica,28 Nov 2015,2:1,2:1,1.87,3.70,3.20,,3.25,2.98,1.77,2.02,,,,,,,2.35,1.57,2.35,1.57,,,,,,,,,1.40,2.75,,,,,,,1.73,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,2.08,1.88,1.93
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/zadar-dinamo-zagreb-Q1KG1Vnj/,Zadar,NK Dinamo Zagreb 2,24 Oct 2015,1:1,,2.59,3.15,2.57,,3.25,2.39,,,,,,,,,1.94,1.84,1.90,1.90,,,,,,,,,,,,,,,,,,,,,,,,,4.40,1.18,,,,,,,,,,,,,,,,,,,1.20,4.20,,,,,,,5.50,1.11,5.50,1.11
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/sesvete-sibenik-8KhGwPa7/,Sesvete,Sibenik,28 Nov 2015,4:0,2:0,2.38,3.20,2.79,2.52,3.00,2.60,,,,,2.02,1.77,2.02,1.77,2.30,1.59,2.30,1.60,,,,,,,,,1.78,2.01,,,,,,,,,,,,,,,4.15,1.20,,,,,,,,,,,,,,,,,,,1.13,5.20,,,,,,,4.90,1.14,,1.14
