League,Season,URL,Home,Away,Date,Final_Result,HT_Result,1X2_Close_1,1X2_Close_X,1X2_Close_2,1X2_Open_1,1X2_Open_X,1X2_Open_2,OU_2_Over_Close,OU_2_Under_Close,OU_2_Over_Open,OU_2_Under_Open,OU_2_25_Over_Close,OU_2_25_Under_Close,OU_2_25_Over_Open,OU_2_25_Under_Open,OU_2_5_Over_Close,OU_2_5_Under_Close,OU_2_5_Over_Open,OU_2_5_Under_Open,OU_2_75_Over_Close,OU_2_75_Under_Close,OU_2_75_Over_Open,OU_2_75_Under_Open,OU_3_Over_Close,OU_3_Under_Close,OU_3_Over_Open,OU_3_Under_Open,AH_0_Home_Close,AH_0_Away_Close,AH_0_Home_Open,AH_0_Away_Open,AH_minus_0_25_Home_Close,AH_minus_0_25_Away_Close,AH_minus_0_25_Home_Open,AH_minus_0_25_Away_Open,AH_minus_0_5_Home_Close,AH_minus_0_5_Away_Close,AH_minus_0_5_Home_Open,AH_minus_0_5_Away_Open,AH_minus_0_75_Home_Close,AH_minus_0_75_Away_Close,AH_minus_0_75_Home_Open,AH_minus_0_75_Away_Open,AH_minus_1_Home_Close,AH_minus_1_Away_Close,AH_minus_1_Home_Open,AH_minus_1_Away_Open,AH_minus_1_25_Home_Close,AH_minus_1_25_Away_Close,AH_minus_1_25_Home_Open,AH_minus_1_25_Away_Open,AH_plus_0_25_Home_Close,AH_plus_0_25_Away_Close,AH_plus_0_25_Home_Open,AH_plus_0_25_Away_Open,AH_plus_0_5_Home_Close,AH_plus_0_5_Away_Close,AH_plus_0_5_Home_Open,AH_plus_0_5_Away_Open,AH_plus_0_75_Home_Close,AH_plus_0_75_Away_Close,AH_plus_0_75_Home_Open,AH_plus_0_75_Away_Open,AH_plus_1_Home_Close,AH_plus_1_Away_Close,AH_plus_1_Home_Open,AH_plus_1_Away_Open,AH_plus_1_25_Home_Close,AH_plus_1_25_Away_Close,AH_plus_1_25_Home_Open,AH_plus_1_25_Away_Open,BTTS_Yes_Close,BTTS_No_Close,BTTS_Yes_Open,BTTS_No_Open
Croatia Prva NL,2022-2023,https://www.oddsportal.com/football/croatia/prva-nl-2022-2023/bijelo-brdo-dugopolje-xY9Efevt/,Bijelo Brdo,Dugopolje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia Prva NL,2022-2023,https://www.oddsportal.com/football/croatia/prva-nl-2022-2023/cibalia-bijelo-brdo-b7v4zhgO/,Cibalia,Bijelo Brdo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia Prva NL,2022-2023,https://www.oddsportal.com/football/croatia/prva-nl-2022-2023/kustosija-bijelo-brdo-jcsFWRrm/,Kustosija,Bijelo Brdo,22 Oct 2022,5:2,2:2,2.49,2.88,2.86,,3.10,2.62,1.76,1.98,1.70,2.03,2.02,1.77,1.98,1.74,2.16,1.62,2.18,1.58,2.76,1.40,2.65,1.42,3.50,1.26,3.40,1.27,,,,,2.13,1.70,1.05,1.67,2.30,1.60,1.05,1.50,2.93,1.37,1.05,1.25,3.92,1.22,4.64,1.01,4.39,1.18,4.23,1.01,1.50,2.45,1.05,2.44,1.40,2.85,1.05,2.92,1.26,3.54,1.02,2.92,1.14,5.10,1.01,2.92,1.12,5.52,1.01,2.92,2.15,1.67,1.85,1.91
Croatia Prva NL,2022-2023,https://www.oddsportal.com/football/croatia/prva-nl-2022-2023/dubrava-zagreb-dugopolje-QwhYMYOO/,Dubrava,Dugopolje,19 Feb 2023,2:0,1:0,2.03,3.43,3.53,2.35,3.24,2.79,1.71,2.11,1.66,2.10,2.02,1.82,1.97,1.81,2.20,1.61,2.22,1.56,2.57,1.47,2.56,1.46,3.20,1.30,3.20,1.29,1.48,2.60,1.59,2.84,1.78,2.05,1.97,2.13,2.02,1.81,2.34,1.81,2.33,1.56,2.34,1.57,3.00,1.36,4.10,1.15,3.38,1.27,3.71,1.26,1.33,3.07,1.43,3.40,,,,,1.16,4.58,1.17,5.30,1.08,6.60,1.12,8.56,,,,,2.11,1.68,1.95,1.75
Croatia Prva NL,2022-2023,https://www.oddsportal.com/football/croatia/prva-nl-2022-2023/dugopolje-jarun-AVHaIiGu/,Dugopolje,Jarun,12 May 2023,1:0,0:0,1.64,3.84,4.78,,3.64,4.52,1.36,2.86,1.46,2.50,1.56,2.28,1.69,2.05,1.82,1.95,1.85,1.85,2.01,1.79,2.15,1.61,2.34,1.54,2.60,1.43,1.24,3.60,1.18,3.98,1.42,2.67,1.34,2.82,1.61,2.30,1.51,2.36,1.82,2.00,1.66,2.06,2.10,1.71,1.94,1.32,2.39,1.52,1.94,1.54,1.19,4.17,1.12,4.56,1.16,5.25,1.09,5.20,1.09,6.40,1.04,7.28,1.02,9.27,1.02,13.53,,,,,1.77,2.00,1.75,2.03
Croatia Prva NL,2022-2023,https://www.oddsportal.com/football/croatia/prva-nl-2022-2023/orijent-jarun-booPISRL/,Orijent,Jarun,12 Nov 2022,4:3,0:3,2.00,3.56,3.46,,3.10,2.86,1.26,3.50,1.37,2.85,1.52,2.43,1.56,2.26,1.73,2.06,1.76,1.95,1.88,1.93,2.00,1.78,2.16,1.65,2.30,1.55,1.50,2.52,1.05,2.72,1.79,2.01,1.05,2.15,2.02,1.77,1.05,1.86,2.28,1.59,1.05,1.59,2.69,1.44,2.16,1.09,3.05,1.35,2.16,1.23,1.36,2.96,1.05,3.22,1.32,3.30,1.05,3.65,1.20,4.15,1.02,3.65,1.12,5.70,,,1.10,6.27,,,1.62,2.21,1.64,2.20
Croatia Prva NL,2022-2023,https://www.oddsportal.com/football/croatia/prva-nl-2022-2023/solin-vukovar-1991-zZluM97O/,Solin,Vukovar 1991,"5
Vukovar 1991",2:5,1:1,2.63,3.41,2.53,,3.30,2.39,1.37,3.04,1.46,2.48,1.57,2.33,1.73,2.07,1.80,1.96,1.96,1.82,2.01,1.80,2.18,1.59,2.32,1.57,2.64,1.41,1.93,1.86,1.96,1.95,2.23,1.63,2.34,1.69,2.56,1.49,2.64,1.54,3.05,1.36,3.09,1.39,4.05,1.23,2.72,1.12,4.54,1.20,4.63,1.20,1.67,2.14,1.68,2.32,1.52,2.44,1.53,2.69,1.37,3.01,1.37,3.28,1.24,3.87,1.15,4.52,1.21,4.33,1.13,5.06,1.62,2.21,1.72,2.07
Croatia Prva NL,2022-2023,https://www.oddsportal.com/football/croatia/prva-nl-2022-2023/dragovoljac-dubrava-zagreb-pAqp8Stc/,Dragovoljac,Dubrava,31 Mar 2023,0:1,0:0,2.81,3.28,2.40,,3.20,2.85,1.50,2.42,1.58,2.24,1.79,2.01,1.83,1.87,2.02,1.75,2.22,1.56,2.26,1.56,2.40,1.51,2.75,1.38,3.00,1.34,1.94,1.85,1.63,1.82,2.30,1.60,2.01,1.58,2.51,1.49,2.40,1.45,3.11,1.32,2.40,1.31,4.27,1.18,4.57,1.08,4.44,1.17,4.42,1.14,1.68,2.15,1.45,2.19,1.54,2.44,1.35,2.58,1.37,2.89,1.17,3.10,1.19,4.12,1.10,4.08,1.16,4.65,1.08,4.55,1.75,2.03,1.91,1.85
Croatia Prva NL,2022-2023,https://www.oddsportal.com/football/croatia/prva-nl-2022-2023/rudes-orijent-bLJxki8H/,Rudes,Orijent,12 Mar 2023,1:0,1:0,1.56,3.95,5.72,,4.20,6.75,1.56,2.33,1.48,2.43,1.88,1.96,1.76,2.05,2.07,1.72,1.95,1.76,2.38,1.55,2.22,1.57,2.84,1.35,2.71,1.39,,,,,1.36,3.04,1.25,3.52,1.49,2.51,1.44,2.72,1.65,2.18,1.44,2.34,1.94,1.88,3.04,1.37,2.23,1.63,2.19,1.67,1.15,5.10,1.06,6.54,1.15,5.50,1.05,7.40,,,,,1.01,10.50,1.01,16.68,,,,,2.28,1.59,2.10,1.65
Croatia Prva NL,2022-2023,https://www.oddsportal.com/football/croatia/prva-nl-2022-2023/orijent-kustosija-j3fCSgOt/,Orijent,Kustosija,05 May 2023,2:0,0:0,1.71,3.68,4.48,,3.54,4.34,,,,,1.65,2.21,1.72,2.00,1.90,1.86,1.95,1.76,2.13,1.69,2.22,1.59,2.58,1.47,2.70,1.40,1.27,3.45,1.24,3.99,1.48,2.57,1.48,2.76,1.68,2.15,1.73,2.24,1.88,1.97,1.73,1.97,2.21,1.62,2.02,1.28,2.54,1.49,2.02,1.48,1.23,4.10,1.19,4.69,1.19,4.50,1.16,5.40,1.12,6.25,1.08,7.41,1.05,8.50,1.02,12.81,,,,,1.79,1.98,1.85,1.91
Croatia Prva NL,2022-2023,https://www.oddsportal.com/football/croatia/prva-nl-2022-2023/solin-dragovoljac-vkApqzAD/,Solin,Dragovoljac,08 Apr 2023,3:0,1:0,2.14,3.40,3.24,,3.30,3.68,,,,,1.73,2.05,1.69,2.05,1.98,1.79,1.76,1.95,2.20,1.63,2.17,1.61,2.68,1.44,2.60,1.43,1.53,2.46,1.36,2.73,1.81,2.01,1.02,2.15,2.01,1.82,1.05,1.86,2.37,1.56,1.05,1.62,3.01,1.38,4.07,1.18,3.54,1.29,2.88,1.32,1.44,2.72,1.28,3.24,1.35,3.10,1.24,3.75,1.17,4.54,1.16,4.85,1.12,6.02,1.05,7.30,1.11,6.51,1.05,7.95,1.82,1.93,1.65,2.18
Croatia Prva NL,2022-2023,https://www.oddsportal.com/football/croatia/prva-nl-2022-2023/jarun-dragovoljac-CIrLQXhg/,Jarun,Dragovoljac,06 May 2023,3:2,2:1,1.77,3.70,4.10,1.79,3.44,4.14,1.33,2.98,1.53,2.34,1.52,2.36,1.77,1.94,1.77,2.01,2.00,1.72,1.94,1.85,2.30,1.55,2.22,1.59,,,,,,,1.49,2.45,1.25,2.57,1.81,2.15,1.12,2.16,1.93,1.86,1.12,1.88,2.28,1.60,3.84,1.28,2.57,1.45,2.78,1.47,1.25,3.54,1.13,3.80,,,,,1.14,4.67,1.06,5.75,1.05,7.70,1.08,9.55,,,,,1.67,2.15,1.90,1.86
